"ID","Sire","Dam"
"651","3065","881"
"791","5214","5440"
"792","5430","5440"
"1073","5214","93"
"1074","5214","93"
"1201","5214","91"
"1235","5028","2958"
"2088","2928","4185"
"2141","5214","92"
"2144","2983","92"
"2203","4552","4823"
"2225","5430","352"
"2229","5214","352"
"2258","3273","3199"
"2260","3273","3199"
"2311","4222","2756"
"2312","4222","2756"
"2442","5061","5168"
"2561","5214","2618"
"3042","5028","2065"
"3044","1229","2065"
"3135","263","476"
"3176","263","3201"
"3182","5410","5169"
"3778","3065","1101"
"3858","4423","2739"
"3860","323","2031"
"3862","4222","2031"
"3907","2924","2961"
"3909","5214","2961"
"4081","5028","2960"
"4082","4222","2960"
"4086","5214","2960"
"4346","2928","1173"
"4490","1709","2453"
"4491","2167","2453"
"4557","1229","3640"
"4618","3065","4921"
"4759","3857","2273"
"5239","3065","3271"
"5242","3065","3271"
"5244","1110","3271"
"5503","4178","4920"
"5504","3065","4920"
"5545","4222","671"
"5548","1709","671"
"46","1071","4837"
"48","4341","4837"
"52","4343","4837"
"122","1691","190"
"165","1226","203"
"195","5304","2270"
"196","4673","2270"
"198","813","2270"
"653","4241","881"
"781","2178","783"
"789","813","5440"
"871","3844","371"
"931","2743","2527"
"932","2743","2527"
"934","4615","2527"
"1141","5218","3377"
"1142","1071","5170"
"1236","5304","2958"
"1237","4338","2958"
"1794","4615","582"
"1834","4615","2524"
"1835","4615","2524"
"1836","5218","2524"
"1872","4615","2526"
"1874","5218","2526"
"1875","4615","2526"
"1878","2818","3618"
"1939","1162","5437"
"2013","1730","661"
"2016","2821","661"
"2046","214","1061"
"2049","214","1061"
"2069","214","3942"
"2073","4615","3942"
"2074","3844","3942"
"2075","4615","3942"
"2227","1162","352"
"2259","4182","3199"
"2261","813","3199"
"2262","813","3199"
"2288","4408","2980"
"2433","3715","5168"
"2436","1162","5168"
"2441","4343","5168"
"2493","1226","3129"
"2635","214","5302"
"2657","5304","2619"
"2747","2928","516"
"3174","4182","3201"
"3177","4338","3201"
"3183","2217","5169"
"3188","4343","5169"
"3326","1071","2744"
"3432","3639","5496"
"3655","2928","4337"
"3682","5322","4551"
"3697","214","887"
"3832","2928","3440"
"3833","2928","3440"
"3848","2178","3512"
"3859","3628","2031"
"3905","1691","2961"
"4083","5304","2960"
"4084","5304","2960"
